hsa:440034	DKFZp686K1684; uncharacterized LOC440034
hsa:84920	ALG10, ALG10A, DIE2, KCR1; ALG10, alpha-1,2-glucosyltransferase (EC:2.4.1.256); K03850 alpha-1,2-glucosyltransferase [EC:2.4.1.256]
hsa:4163	MCC, MCC1; mutated in colorectal cancers
hsa:389874	ZCCHC13, CNBP2, ZNF9L; zinc finger, CCHC domain containing 13
hsa:10847	SRCAP, DOMO1, EAF1, FLHS, SWR1; Snf2-related CREBBP activator protein; K11661 helicase SRCAP [EC:3.6.4.-]
hsa:284403	WDR62, C19orf14, MCPH2; WD repeat domain 62
hsa:55511	SAGE1, CT14, SAGE; sarcoma antigen 1
hsa:55172	DNAAF2, C14orf104, CILD10, KTU, PF13; dynein, axonemal, assembly factor 2
hsa:3915	LAMC1, LAMB2; laminin, gamma 1 (formerly LAMB2); K05635 laminin, gamma 1
hsa:1951	CELSR3, CDHF11, EGFL1, FMI1, HFMI1, MEGF2, RESDA1; cadherin, EGF LAG seven-pass G-type receptor 3; K04602 cadherin EGF LAG seven-pass G-type receptor 3
hsa:25914	RTTN; rotatin; K16484 rotatin
hsa:81037	CLPTM1L, CRR9; CLPTM1-like
hsa:8736	MYOM1, SKELEMIN; myomesin 1
hsa:5727	PTCH1, BCNS, HPE7, NBCCS, PTC, PTC1, PTCH, PTCH11; patched 1; K06225 patched 1
hsa:2986	GUCY2F, CYGF, GC-F, GUC2DL, GUC2F, RETGC-2, ROS-GC2; guanylate cyclase 2F, retinal (EC:4.6.1.2); K12321 guanylate cyclase 2D/E/F [EC:4.6.1.2]
hsa:5108	PCM1, PTC4; pericentriolar material 1; K16537 pericentriolar material 1 protein
hsa:56156	TEX13B, TGC3B, TSGA5; testis expressed 13B
hsa:11173	ADAMTS7, ADAM-TS_7, ADAM-TS7, ADAMTS-7; ADAM metallopeptidase with thrombospondin type 1 motif, 7 (EC:3.4.24.-); K08622 a disintegrin and metalloproteinase with thrombospondin motifs 7 [EC:3.4.24.-]
hsa:494118	SPANXN1, CT11.6; SPANX family, member N1
hsa:4606	MYBPC2, MYBPC, MYBPCF; myosin binding protein C, fast type; K12558 myosin-binding protein C, fast-type
hsa:5327	PLAT, T-PA, TPA; plasminogen activator, tissue (EC:3.4.21.68); K01343 tissue plasminogen activator [EC:3.4.21.68]
hsa:2299	FOXI1, FKH10, FKHL10, FREAC-6, FREAC6, HFH-3, HFH3; forkhead box I1; K09401 forkhead box protein I
hsa:202018	TAPT1, CMVFR; transmembrane anterior posterior transformation 1
hsa:23211	ZC3H4, C19orf7; zinc finger CCCH-type containing 4
hsa:10667	FARS2, COXPD14, FARS1, HSPC320, PheRS, dJ520B18.2; phenylalanyl-tRNA synthetase 2, mitochondrial (EC:6.1.1.20); K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
hsa:8220	DGCR14, DGCR13, DGS-H, DGS-I, DGSH, DGSI, ES2, Es2el; DiGeorge syndrome critical region gene 14; K13118 protein DGCR14
hsa:30062	RAX, MCOP3, RX; retina and anterior neural fold homeobox; K09332 retina and anterior neural fold homeobox protein
hsa:2020	EN2; engrailed homeobox 2; K09319 homeobox protein engrailed
hsa:2019	EN1; engrailed homeobox 1; K09319 homeobox protein engrailed
hsa:23607	CD2AP, CMS; CD2-associated protein; K13738 CD2-associated protein
hsa:2717	GLA, GALA; galactosidase, alpha (EC:3.2.1.22); K01189 alpha-galactosidase [EC:3.2.1.22]
hsa:57187	THOC2, CXorf3, THO2, dJ506G2.1, hTREX120; THO complex 2; K12879 THO complex subunit 2
hsa:6331	SCN5A, CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1; sodium channel, voltage-gated, type V, alpha subunit; K04838 voltage-gated sodium channel type V alpha
hsa:4901	NRL, D14S46E, NRL-MAF, RP27; neural retina leucine zipper; K09038 neural retina-specific leucine zipper protein
hsa:29940	DSE, DSEP, DSEPI, EDSMC2, SART-2, SART2; dermatan sulfate epimerase (EC:5.1.3.19); K01794 chondroitin-glucuronate 5-epimerase [EC:5.1.3.19]
hsa:80070	ADAMTS20, ADAM-TS20, ADAMTS-20, GON-1; ADAM metallopeptidase with thrombospondin type 1 motif, 20; K09609 a disintegrin and metalloproteinase with thrombospondin motifs 20 [EC:3.4.24.-]
hsa:6338	SCNN1B, BESC1, ENaCb, ENaCbeta, SCNEB; sodium channel, non-voltage-gated 1, beta subunit; K04825 amiloride-sensitive sodium channel subunit beta
hsa:139285	AMER1, FAM123B, OSCS, WTX; APC membrane recruitment protein 1
hsa:5345	SERPINF2, A2AP, AAP, ALPHA-2-PI, API, PLI; serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2; K03983 alpha-2-antiplasmin
hsa:11240	PADI2, PAD-H19, PAD2, PDI2; peptidyl arginine deiminase, type II (EC:3.5.3.15); K01481 protein-arginine deiminase [EC:3.5.3.15]
hsa:23530	NNT, GCCD4; nicotinamide nucleotide transhydrogenase (EC:1.6.1.2); K00323 NAD(P) transhydrogenase [EC:1.6.1.2]
hsa:79659	DYNC2H1, ATD3, DHC1b, DHC2, DNCH2, DYH1B, SRPS2B, SRTD3, hdhc11; dynein, cytoplasmic 2, heavy chain 1; K10414 dynein heavy chain 2, cytosolic
hsa:344191	EVX2, EVX-2; even-skipped homeobox 2; K09320 homeobox even-skipped homolog protein
hsa:255313	CT47A11, CT47.11; cancer/testis antigen family 47, member A11
hsa:5621	PRNP, ASCR, AltPrP, CD230, CJD, GSS, KURU, PRIP, PrP, PrP27-30, PrP33-35C, PrPc, p27-30; prion protein; K05634 prion protein
hsa:728096	CT47A1, CT47.1; cancer/testis antigen family 47, member A1
hsa:728090	CT47A2, CT47.2; cancer/testis antigen family 47, member A2
hsa:728062	CT47A6, CT47.6; cancer/testis antigen family 47, member A6
hsa:653282	CT47A7, CT47.7; cancer/testis antigen family 47, member A7
hsa:728049	CT47A8, CT47.8; cancer/testis antigen family 47, member A8
hsa:728042	CT47A9, CT47.9; cancer/testis antigen family 47, member A9
hsa:728082	CT47A3, CT47.3; cancer/testis antigen family 47, member A3
hsa:728075	CT47A4, CT47.4; cancer/testis antigen family 47, member A4
hsa:641654	HEPN1; hepatocellular carcinoma, down-regulated 1
hsa:4499	MT1M, MT-1M, MT-IM, MT1, MT1K; metallothionein 1M; K14739 metallothionein 1/2
hsa:9897	RTSC, SPG8; KIAA0196; K18464 WASH complex subunit strumpellin
hsa:201294	UNC13D, FHL3, HLH3, HPLH3, Munc13-4; unc-13 homolog D (C. elegans)
hsa:242	ALOX12B, 12R-LOX, ARCI2; arachidonate 12-lipoxygenase, 12R type (EC:1.13.11.-); K08021 arachidonate 12-lipoxygenase (R-type) [EC:1.13.11.-]
hsa:1497	CTNS, CTNS-LSB, PQLC4; cystinosin, lysosomal cystine transporter; K12386 cystinosin
hsa:1806	DPYD, DHP, DHPDHASE, DPD; dihydropyrimidine dehydrogenase (EC:1.3.1.2); K00207 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
hsa:3913	LAMB2, LAMS, NPHS5; laminin, beta 2 (laminin S); K06243 laminin, beta 2
hsa:3854	KRT6B, CK-6B, CK6B, K6B, KRTL1, PC2, PC4; keratin 6B; K07605 type II keratin, basic
hsa:1828	DSG1, CDHF4, DG1, DSG, EPKHE, EPKHIA, PPKS1, SPPK1; desmoglein 1; K07596 desmoglein 1
hsa:3908	LAMA2, LAMM; laminin, alpha 2; K05637 laminin, alpha 1/2
hsa:3848	KRT1, CK1, EHK, EHK1, EPPK, K1, KRT1A, NEPPK; keratin 1; K07605 type II keratin, basic
hsa:2548	GAA, LYAG; glucosidase, alpha; acid (EC:3.2.1.20); K12316 lysosomal alpha-glucosidase [EC:3.2.1.20]
hsa:10572	SIVA1, CD27BP, SIVA, Siva-1, Siva-2; SIVA1, apoptosis-inducing factor
hsa:3508	IGHMBP2, CATF1, HCSA, HMN6, SMARD1, SMUBP2, ZFAND7; immunoglobulin mu binding protein 2 (EC:3.6.4.13 3.6.4.12); K19036 ATP-dependent RNA/DNA helicase IGHMBP2 [EC:3.6.4.12 3.6.4.13]
hsa:7021	TFAP2B, AP-2B, AP2-B; transcription factor AP-2 beta (activating enhancer binding protein 2 beta); K09176 transcription factor AP-2 alpha/beta
hsa:4487	MSX1, ECTD3, HOX7, HYD1, STHAG1; msh homeobox 1; K09341 homeobox protein MSX
hsa:6649	SOD3, EC-SOD; superoxide dismutase 3, extracellular (EC:1.15.1.1); K16627 superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
hsa:83872	HMCN1, ARMD1, FBLN6, FIBL-6, FIBL6; hemicentin 1; K17341 hemicentin
hsa:29109	FHOD1, FHOS; formin homology 2 domain containing 1
hsa:2739	GLO1, GLOD1, GLYI, HEL-S-74; glyoxalase I (EC:4.4.1.5); K01759 lactoylglutathione lyase [EC:4.4.1.5]
hsa:54466	SPIN2A, DXF34, SPIN2, dJ323P24.1; spindlin family, member 2A
hsa:157310	PEBP4, CORK-1, CORK1, GWTM1933, HEL-S-300, PEBP-4, PRO4408, hPEBP4; phosphatidylethanolamine-binding protein 4
hsa:3166	HMX1, H6, NKX5-3; H6 family homeobox 1; K09349 homeobox protein Nkx-5
hsa:8292	COLQ, EAD; collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
hsa:93	ACVR2B, ACTRIIB, ActR-IIB, HTX4; activin A receptor, type IIB (EC:2.7.11.30); K13596 activin receptor type-2B [EC:2.7.11.30]
hsa:9687	GREB1; growth regulation by estrogen in breast cancer 1
hsa:55612	FERMT1, C20orf42, DTGCU2, KIND1, UNC112A, URP1; fermitin family member 1; K17082 kindlin 1
hsa:23538	OR52A1, HPFH1OR; olfactory receptor, family 52, subfamily A, member 1; K04257 olfactory receptor
hsa:1621	DBH, DBM; dopamine beta-hydroxylase (dopamine beta-monooxygenase) (EC:1.14.17.1); K00503 dopamine beta-monooxygenase [EC:1.14.17.1]
hsa:3882	KRT32, HA2, HKA2, KRTHA2, hHa2; keratin 32; K07604 type I keratin, acidic
hsa:90161	HS6ST2; heparan sulfate 6-O-sulfotransferase 2 (EC:2.8.2.-); K08102 heparan sulfate 6-O-sulfotransferase HS6ST2 [EC:2.8.2.-]
hsa:7456	WIPF1, PRPL-2, WASPIP, WIP; WAS/WASL interacting protein family, member 1
hsa:126792	B3GALT6, EDSP2, SEMDJL1, beta3GalT6; UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 (EC:2.4.1.134); K00734 galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
hsa:60676	PAPPA2, PAPP-A2, PAPP-E, PAPPE, PLAC3; pappalysin 2; K08647 pappalysin-2 [EC:3.4.24.-]
hsa:7461	CLIP2, CLIP, CLIP-115, CYLN2, WBSCR3, WBSCR4, WSCR3, WSCR4; CAP-GLY domain containing linker protein 2; K10422 CAP-Gly domain-containing linker protein 2
hsa:4638	MYLK, AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MSTP083, MYLK1, smMLCK; myosin light chain kinase (EC:2.7.11.18); K00907 myosin-light-chain kinase [EC:2.7.11.18]
hsa:7343	UBTF, NOR-90, UBF, UBF-1, UBF1, UBF2; upstream binding transcription factor, RNA polymerase I; K09273 upstream-binding transcription factor
hsa:6873	TAF2, CIF150, MRT40, TAF2B, TAFII150; TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa; K03128 transcription initiation factor TFIID subunit 2
hsa:4634	MYL3, CMH8, MLC1SB, MLC1V, VLC1; myosin, light chain 3, alkali; ventricular, skeletal, slow; K12749 myosin light chain 3
hsa:1292	COL6A2, PP3610; collagen, type VI, alpha 2; K06238 collagen, type VI, alpha
hsa:64788	LMF1, C16orf26, HMFN1876, JFP11, TMEM112, TMEM112A; lipase maturation factor 1
hsa:388531	RGS9BP, PERRS, R9AP, RGS9; regulator of G protein signaling 9 binding protein
hsa:57731	SPTBN4, QV, SPNB4, SPTBN3; spectrin, beta, non-erythrocytic 4; K06115 spectrin beta
hsa:10008	KCNE3, HOKPP, HYPP, MiRP2; potassium voltage-gated channel, Isk-related family, member 3; K04897 potassium voltage-gated channel Isk-related subfamily E member 3
hsa:3670	ISL1, ISLET1, Isl-1; ISL LIM homeobox 1; K09370 insulin gene enhancer protein ISL-1
hsa:6390	SDHB, CWS2, IP, PGL4, SDH, SDH1, SDH2, SDHIP; succinate dehydrogenase complex, subunit B, iron sulfur (Ip) (EC:1.3.5.1); K00235 succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
hsa:3283	HSD3B1, 3BETAHSD, HSD3B, HSDB3, HSDB3A, I, SDR11E1; hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 (EC:1.1.1.145 5.3.3.1); K00070 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1]
hsa:4811	NID1, NID; nidogen 1; K06826 nidogen (entactin)
hsa:1718	DHCR24, DCE, Nbla03646, SELADIN1, seladin-1; 24-dehydrocholesterol reductase (EC:1.3.1.72); K09828 delta24-sterol reductase [EC:1.3.1.72]
hsa:70	ACTC1, ACTC, ASD5, CMD1R, CMH11, LVNC4; actin, alpha, cardiac muscle 1; K12314 actin, alpha cardiac muscle
hsa:7299	TYR, ATN, CMM8, OCA1, OCA1A, OCAIA, SHEP3; tyrosinase (EC:1.14.18.1); K00505 tyrosinase [EC:1.14.18.1]
hsa:79755	ZNF750, ZFP750; zinc finger protein 750
hsa:257	ALX3, FND, FND1; ALX homeobox 3; K09323 homeobox protein aristaless-like 3
hsa:6711	SPTBN1, ELF, HEL102, SPTB2, betaSpII; spectrin, beta, non-erythrocytic 1; K06115 spectrin beta
hsa:5019	OXCT1, OXCT, SCOT; 3-oxoacid CoA transferase 1 (EC:2.8.3.5); K01027 3-oxoacid CoA-transferase [EC:2.8.3.5]
hsa:1650	DDOST, AGER1, CDG1R, OKSWcl45, OST, OST48, WBP1; dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) (EC:2.4.99.18); K12670 oligosaccharyltransferase complex subunit beta
hsa:5169	ENPP3, B10, CD203c, NPP3, PD-IBETA, PDNP3; ectonucleotide pyrophosphatase/phosphodiesterase 3 (EC:3.1.4.1 3.6.1.9); K01513 ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]
hsa:27034	ACAD8, ACAD-8, ARC42; acyl-CoA dehydrogenase family, member 8; K11538 isobutyryl-CoA dehydrogenase [EC:1.3.99.-]
hsa:4148	MATN3, DIPOA, EDM5, HOA, OADIP, OS2; matrilin 3
hsa:2301	FOXE3, FKHL12, FREAC8; forkhead box E3; K09398 forkhead box protein E
hsa:9258	MFHAS1, LRRC65, MASL1; malignant fibrous histiocytoma amplified sequence 1
hsa:57103	C12orf5, FR2BP, TIGAR; chromosome 12 open reading frame 5 (EC:3.1.3.46); K14634 fructose-2,6-bisphosphatase [EC:3.1.3.46]
hsa:5442	POLRMT, APOLMT, MTRNAP, MTRPOL, h-mtRPOL; polymerase (RNA) mitochondrial (DNA directed) (EC:2.7.7.6); K10908 DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]
hsa:10497	UNC13B, MUNC13, UNC13, Unc13h2; unc-13 homolog B (C. elegans); K15293 protein unc-13
hsa:51475	CABP2, DFNB93; calcium binding protein 2
hsa:2916	GRM6, CSNB1B, GPRC1F, MGLUR6, mGlu6; glutamate receptor, metabotropic 6; K04608 metabotropic glutamate receptor 6/7/8
hsa:10319	LAMC3, OCCM; laminin, gamma 3; K06247 laminin, gamma 3
hsa:7840	ALMS1, ALSS; Alstrom syndrome 1; K16741 alstrom syndrome protein 1
hsa:23417	MLYCD, MCD; malonyl-CoA decarboxylase (EC:4.1.1.9); K01578 malonyl-CoA decarboxylase [EC:4.1.1.9]
hsa:10479	SLC9A6, MRSA, NHE6; solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6; K12041 solute carrier family 9 (sodium/hydrogen exchanger), member 6/7
hsa:93183	PIGM, GPI-MT-I; phosphatidylinositol glycan anchor biosynthesis, class M (EC:2.4.1.-); K05284 phosphatidylinositol glycan, class M [EC:2.4.1.-]
hsa:9487	PIGL, CHIME; phosphatidylinositol glycan anchor biosynthesis, class L (EC:3.5.1.89); K03434 N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]
hsa:2300	FOXL1, FKH6, FKHL11, FREAC7; forkhead box L1; K09405 forkhead box protein L
hsa:169792	GLIS3, ZNF515; GLIS family zinc finger 3; K09232 zinc finger protein GLIS1/3
hsa:140032	RPS4Y2, RPS4Y2P; ribosomal protein S4, Y-linked 2; K02987 small subunit ribosomal protein S4e
hsa:4014	LOR; loricrin; K10385 loricrin
hsa:3850	KRT3, CK3, K3; keratin 3; K07605 type II keratin, basic
hsa:2780	GNAT2, ACHM4, GNATC; guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2; K04631 guanine nucleotide-binding protein G(t) subunit alpha
hsa:4166	CHST6, MCDC1; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6; K09671 carbohydrate 6-sulfotransferase 6 [EC:2.8.2.-]
hsa:2731	GLDC, GCE, GCSP, HYGN1; glycine dehydrogenase (decarboxylating) (EC:1.4.4.2); K00281 glycine dehydrogenase [EC:1.4.4.2]
hsa:340596	LHFPL1; lipoma HMGIC fusion partner-like 1
hsa:283989	TSEN54, PCH2A, PCH4, SEN54L, sen54; TSEN54 tRNA splicing endonuclease subunit; K15326 tRNA-splicing endonuclease subunit Sen54
hsa:3032	HADHB, ECHB, MTPB, TP-BETA; hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit (EC:2.3.1.16); K07509 acetyl-CoA acyltransferase [EC:2.3.1.16]
hsa:3030	HADHA, ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA; hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit (EC:4.2.1.17 1.1.1.211); K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
hsa:5802	PTPRS, PTPSIGMA; protein tyrosine phosphatase, receptor type, S (EC:3.1.3.48); K06778 receptor-type tyrosine-protein phosphatase S [EC:3.1.3.48]
hsa:2528	FUT6, FCT3A, FT1A, Fuc-TVI, FucT-VI; fucosyltransferase 6 (alpha (1,3) fucosyltransferase) (EC:2.4.1.65); K07634 galactoside alpha-1,3-fucosyltransferase 6 [EC:2.4.1.65]
hsa:3716	JAK1, JAK1A, JAK1B, JTK3; Janus kinase 1 (EC:2.7.10.2); K11217 Janus kinase 1 [EC:2.7.10.2]
hsa:10371	SEMA3A, COLL1, HH16, Hsema-I, Hsema-III, SEMA1, SEMAD, SEMAIII, SEMAL, SemD, coll-1; sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A; K06840 semaphorin 3
hsa:4358	MPV17, MTDPS6, SYM1; MpV17 mitochondrial inner membrane protein; K13348 protein Mpv17
hsa:1415	CRYBB2, CCA2, CRYB2, CRYB2A, CTRCT3, D22S665; crystallin, beta B2
hsa:27125	AFF4, AF5Q31, MCEF; AF4/FMR2 family, member 4; K15185 AF4/FMR2 family member 4
hsa:10863	ADAM28, ADAM_28, ADAM23, MDC-L, MDC-Lm, MDC-Ls, MDCL, eMDC_II, eMDCII; ADAM metallopeptidase domain 28; K08614 disintegrin and metalloproteinase domain-containing protein 28 [EC:3.4.24.-]
hsa:1300	COL10A1; collagen, type X, alpha 1
hsa:915	CD3D, CD3-DELTA, IMD19, T3D; CD3d molecule, delta (CD3-TCR complex); K06450 T-cell surface glycoprotein CD3 delta chain
hsa:36	ACADSB, 2-MEBCAD, ACAD7, SBCAD; acyl-CoA dehydrogenase, short/branched chain (EC:1.3.8.5); K09478 short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
hsa:7552	ZNF711, CMPX1, MRX97, ZNF4, ZNF5, ZNF6, Zfp711, dJ75N13.1; zinc finger protein 711
hsa:11238	CA5B, CA-VB; carbonic anhydrase VB, mitochondrial (EC:4.2.1.1); K01672 carbonic anhydrase [EC:4.2.1.1]
hsa:9231	DLG5, LP-DLG, P-DLG5, PDLG; discs, large homolog 5 (Drosophila)
hsa:10797	MTHFD2, NMDMC; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase (EC:3.5.4.9 1.5.1.15); K13403 methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]
hsa:137868	SGCZ, ZSG1; sarcoglycan, zeta
hsa:7407	VARS, G7A, VARS1, VARS2; valyl-tRNA synthetase (EC:6.1.1.9); K01873 valyl-tRNA synthetase [EC:6.1.1.9]
hsa:5446	PON3; paraoxonase 3 (EC:3.1.1.2 3.1.8.1 3.1.1.81); K01045 arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1]
hsa:8689	KRT36, HA6, KRTHA6, hHa6; keratin 36; K07604 type I keratin, acidic
hsa:3029	HAGH, GLO2, GLX2, GLXII, HAGH1; hydroxyacylglutathione hydrolase (EC:3.1.2.6); K01069 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
hsa:22934	RPIA, RPI; ribose 5-phosphate isomerase A (EC:5.3.1.6); K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6]
hsa:283417	DPY19L2, SPATA34, SPGF9; dpy-19-like 2 (C. elegans)
hsa:59351	PBOV1, UC28, UROC28, dJ171N11.2; prostate and breast cancer overexpressed 1
hsa:7512	XPNPEP2, AEACEI, APP2; X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound (EC:3.4.11.9); K14208 Xaa-Pro aminopeptidase 2 [EC:3.4.11.9]
hsa:3223	HOXC6, CP25, HHO.C8, HOX3, HOX3C; homeobox C6; K09306 homeobox protein HoxA/B/C6
hsa:6326	SCN2A, BFIC3, BFIS3, BFNIS, EIEE11, HBA, HBSCI, HBSCII, NAC2, Na(v)1.2, Nav1.2, SCN2A1, SCN2A2; sodium channel, voltage-gated, type II, alpha subunit; K04834 voltage-gated sodium channel type II alpha
hsa:8767	RIPK2, CARD3, CARDIAK, CCK, GIG30, RICK, RIP2; receptor-interacting serine-threonine kinase 2 (EC:2.7.11.1 2.7.10.2); K08846 receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
hsa:53353	LRP1B, LRP-DIT, LRPDIT; low density lipoprotein receptor-related protein 1B
hsa:7224	TRPC5, PPP1R159, TRP5; transient receptor potential cation channel, subfamily C, member 5; K04968 transient receptor potential cation channel subfamily C member 5
hsa:10331	B3GNT3, B3GAL-T8, B3GN-T3, B3GNT-3, HP10328, TMEM3, beta3Gn-T3; UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 (EC:2.4.1.146); K07970 beta-1,3-N-acetylglucosaminyltransferase 3 [EC:2.4.1.-]
hsa:9732	DOCK4; dedicator of cytokinesis 4; K17697 dedicator of cytokinesis protein 4
hsa:27030	MLH3, HNPCC7; mutL homolog 3; K08739 DNA mismatch repair protein MLH3
hsa:84276	NICN1; nicolin 1; K16607 nicolin-1
hsa:85365	ALG2, CDGIi, NET38, hALPG2; ALG2, alpha-1,3/1,6-mannosyltransferase (EC:2.4.1.132 2.4.1.257); K03843 alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]
hsa:58508	KMT2C, HALR, MLL3; lysine (K)-specific methyltransferase 2C (EC:2.1.1.43); K09188 histone-lysine N-methyltransferase MLL3 [EC:2.1.1.43]
hsa:10594	PRPF8, HPRP8, PRP8, PRPC8, RP13, SNRNP220; pre-mRNA processing factor 8; K12856 pre-mRNA-processing factor 8
hsa:24148	PRPF6, ANT-1, ANT1, C20orf14, Prp6, RP60, SNRNP102, TOM, U5-102K, hPrp6; pre-mRNA processing factor 6; K12855 pre-mRNA-processing factor 6
hsa:4222	MEOX1, KFS2, MOX1; mesenchyme homeobox 1; K09322 homeobox protein MOX
hsa:6351	CCL4, ACT2, AT744.1, G-26, HC21, LAG-1, LAG1, MIP-1-beta, MIP1B, MIP1B1, SCYA2, SCYA4; chemokine (C-C motif) ligand 4; K12964 C-C motif chemokine 4
hsa:85417	CCNB3; cyclin B3; K05868 cyclin B
hsa:3890	KRT84, HB4, KRTHB4; keratin 84; K07605 type II keratin, basic
hsa:11146	GLMN, FAP, FAP48, FAP68, FKBPAP, GLML, GVM, VMGLOM; glomulin, FKBP associated protein
hsa:1290	COL5A2; collagen, type V, alpha 2; K06236 collagen, type I/II/III/V/XI/XXIV/XXVII, alpha
hsa:1733	DIO1, 5DI, TXDI1; deiodinase, iodothyronine, type I (EC:1.97.1.10); K01562 type I thyroxine 5'-deiodinase [EC:1.97.1.10]
hsa:9002	F2RL3, PAR4; coagulation factor II (thrombin) receptor-like 3; K04236 coagulation factor II (thrombin) receptor-like 3
hsa:10068	IL18BP, IL18BPa; interleukin 18 binding protein
hsa:114609	TIRAP, BACTS1, Mal, MyD88-2, wyatt; toll-interleukin 1 receptor (TIR) domain containing adaptor protein; K05403 toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
hsa:5204	PFDN5, MM-1, MM1, PFD5; prefoldin subunit 5; K04797 prefoldin alpha subunit
hsa:2847	MCHR1, GPR24, MCH-1R, MCH1R, SLC-1, SLC1; melanin-concentrating hormone receptor 1; K04320 melanin-concentrating hormone receptor 1
hsa:712	C1QA; complement component 1, q subcomponent, A chain; K03986 complement C1q subcomponent subunit A
hsa:23037	PDZD2, AIPC, PAPIN, PDZK3, PIN1; PDZ domain containing 2
hsa:1291	COL6A1, OPLL; collagen, type VI, alpha 1; K06238 collagen, type VI, alpha
hsa:726	CAPN5, ADNIV, HTRA3, VRNI, nCL-3; calpain 5; K08574 calpain-5 [EC:3.4.22.-]
hsa:85320	ABCC11, EWWD, MRP8, WW; ATP-binding cassette, sub-family C (CFTR/MRP), member 11; K05671 ATP-binding cassette, subfamily C (CFTR/MRP), member 11
hsa:9114	ATP6V0D1, ATP6D, ATP6DV, P39, VATX, VMA6, VPATPD; ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1 (EC:3.6.3.14); K02146 V-type H+-transporting ATPase subunit d
hsa:50617	ATP6V0A4, A4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, STV1, VPH1, VPP2; ATPase, H+ transporting, lysosomal V0 subunit a4 (EC:3.6.3.14); K02154 V-type H+-transporting ATPase subunit a
hsa:3236	HOXD10, HOX4, HOX4D, HOX4E, Hox-4.4; homeobox D10; K09295 homrobox protein Hox-D10
hsa:51616	TAF9B, DN-7, DN7, TAF9L, TAFII31L, TFIID-31; TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa; K03133 transcription initiation factor TFIID subunit 9B
hsa:57061	HYMAI, NCRNA00020; hydatidiform mole associated and imprinted (non-protein coding)
hsa:3198	HOXA1, BSAS, HOX1, HOX1F; homeobox A1; K09301 homeobox protein HoxA/B/D1
hsa:4223	MEOX2, GAX, MOX2; mesenchyme homeobox 2; K09322 homeobox protein MOX
hsa:3207	HOXA11, HOX1, HOX1I; homeobox A11; K09296 homeobox protein HoxA/C/D11
hsa:1749	DLX5, SHFM1D; distal-less homeobox 5; K18489 homeobox protein DLX5
hsa:3211	HOXB1, HCFP3, HOX2, HOX2I, Hox-2.9; homeobox B1; K09301 homeobox protein HoxA/B/D1
